trajectory,time,lon,lat
3,2025-09-07 10:30:00,135.0,33.5
3,2025-09-07 10:40:00,135.00632,33.500164
3,2025-09-07 10:50:00,135.00887,33.500385
3,2025-09-07 11:00:00,135.01389,33.499718
3,2025-09-07 11:10:00,135.01738,33.498543
3,2025-09-07 11:20:00,135.02277,33.4972
3,2025-09-07 11:30:00,135.02658,33.49751
3,2025-09-07 11:40:00,135.02992,33.4973
3,2025-09-07 11:50:00,135.03558,33.49724
3,2025-09-07 12:00:00,135.03833,33.495617
3,2025-09-07 12:10:00,135.04251,33.4947
3,2025-09-07 12:20:00,135.04643,33.495754
3,2025-09-07 12:30:00,135.04903,33.494076
3,2025-09-07 12:40:00,135.05081,33.49477
3,2025-09-07 12:50:00,135.05508,33.493122
3,2025-09-07 13:00:00,135.05872,33.49157
3,2025-09-07 13:10:00,135.06198,33.491253
3,2025-09-07 13:20:00,135.06587,33.49062
3,2025-09-07 13:30:00,135.06815,33.489265
3,2025-09-07 13:40:00,135.06949,33.48982
3,2025-09-07 13:50:00,135.07094,33.488804
3,2025-09-07 14:00:00,135.07265,33.487408
3,2025-09-07 14:10:00,135.07536,33.485542
3,2025-09-07 14:20:00,135.07793,33.485893
3,2025-09-07 14:30:00,135.07951,33.485615
3,2025-09-07 14:40:00,135.08154,33.48523
3,2025-09-07 14:50:00,135.08298,33.485134
3,2025-09-07 15:00:00,135.08582,33.483387
3,2025-09-07 15:10:00,135.08801,33.48268
3,2025-09-07 15:20:00,135.08893,33.48127
3,2025-09-07 15:30:00,135.09222,33.479584
3,2025-09-07 15:40:00,135.0947,33.47898
3,2025-09-07 15:50:00,135.09839,33.477036
3,2025-09-07 16:00:00,135.09955,33.47438
3,2025-09-07 16:10:00,135.09845,33.471592
3,2025-09-07 16:20:00,135.0982,33.468765
3,2025-09-07 16:30:00,135.09949,33.466633
4,2025-09-07 10:30:00,135.0,33.5
4,2025-09-07 10:40:00,135.00587,33.500286
4,2025-09-07 10:50:00,135.00946,33.49906
4,2025-09-07 11:00:00,135.01108,33.497375
4,2025-09-07 11:10:00,135.01631,33.49686
4,2025-09-07 11:20:00,135.0177,33.496174
4,2025-09-07 11:30:00,135.02106,33.495815
4,2025-09-07 11:40:00,135.02571,33.49642
4,2025-09-07 11:50:00,135.02979,33.49644
4,2025-09-07 12:00:00,135.03444,33.49652
4,2025-09-07 12:10:00,135.03671,33.495327
4,2025-09-07 12:20:00,135.03717,33.494663
4,2025-09-07 12:30:00,135.04085,33.494236
4,2025-09-07 12:40:00,135.04451,33.49343
4,2025-09-07 12:50:00,135.04633,33.494217
4,2025-09-07 13:00:00,135.04993,33.49305
4,2025-09-07 13:10:00,135.0538,33.49293
4,2025-09-07 13:20:00,135.05405,33.49108
4,2025-09-07 13:30:00,135.05852,33.48964
4,2025-09-07 13:40:00,135.0607,33.487877
4,2025-09-07 13:50:00,135.06204,33.486042
4,2025-09-07 14:00:00,135.0637,33.484234
4,2025-09-07 14:10:00,135.06734,33.48376
4,2025-09-07 14:20:00,135.06915,33.482754
4,2025-09-07 14:30:00,135.07065,33.479786
4,2025-09-07 14:40:00,135.07455,33.480186
4,2025-09-07 14:50:00,135.07417,33.479378
4,2025-09-07 15:00:00,135.0788,33.47727
