time,lat,lon,alt,stage
2026-04-14 14:08:00+00:00,33.196,132.5418,102.0,ascent
2026-04-14 14:09:00+00:00,33.19652713902708,132.53962453307906,402.0,ascent
2026-04-14 14:10:00+00:00,33.19782841721473,132.53592954049432,702.0,ascent
2026-04-14 14:11:00+00:00,33.200152608899344,132.53059560031966,1002.0,ascent
2026-04-14 14:12:00+00:00,33.203237945268036,132.5246195845648,1302.0,ascent
2026-04-14 14:13:00+00:00,33.20658496524446,132.5190466410963,1602.0,ascent
2026-04-14 14:14:00+00:00,33.20952845059923,132.51475592123163,1902.0,ascent
2026-04-14 14:15:00+00:00,33.21211882643639,132.51205914366182,2202.0,ascent
2026-04-14 14:16:00+00:00,33.21483061057651,132.51084356212408,2502.0,ascent
2026-04-14 14:17:00+00:00,33.218077413228535,132.5110198285996,2802.0,ascent
2026-04-14 14:18:00+00:00,33.22194324001435,132.51284410022782,3102.0,ascent
2026-04-14 14:19:00+00:00,33.22600183419844,132.51698109216267,3402.0,ascent
2026-04-14 14:20:00+00:00,33.22952119410306,132.52406115415945,3702.0,ascent
2026-04-14 14:21:00+00:00,33.231861272768995,132.53348152001863,4002.0,ascent
2026-04-14 14:22:00+00:00,33.23290519613085,132.54382755995252,4302.0,ascent
2026-04-14 14:23:00+00:00,33.23312630405269,132.5543288767997,4602.0,ascent
2026-04-14 14:24:00+00:00,33.233054420051744,132.56505959369514,4902.0,ascent
2026-04-14 14:25:00+00:00,33.23278803953143,132.57611927018746,5202.0,ascent
2026-04-14 14:26:00+00:00,33.232073265909676,132.58716509479834,5502.0,ascent
2026-04-14 14:27:00+00:00,33.231085115975496,132.59803914679782,5802.0,ascent
2026-04-14 14:28:00+00:00,33.22985413593166,132.60911866453432,6102.0,ascent
2026-04-14 14:29:00+00:00,33.22839750700545,132.620548450124,6402.0,ascent
2026-04-14 14:30:00+00:00,33.22680287396595,132.63227047786864,6702.0,ascent
2026-04-14 14:31:00+00:00,33.22548739926147,132.64414622868279,7002.0,ascent
2026-04-14 14:32:00+00:00,33.22432644764017,132.65640340524615,7302.0,ascent
2026-04-14 14:33:00+00:00,33.2231347452799,132.66922640710916,7602.0,ascent
2026-04-14 14:34:00+00:00,33.22166686402377,132.68270021075293,7902.0,ascent
2026-04-14 14:35:00+00:00,33.22001785792465,132.696909415126,8202.0,ascent
2026-04-14 14:36:00+00:00,33.218304499356634,132.71192568166492,8502.0,ascent
2026-04-14 14:37:00+00:00,33.21670665539514,132.72781173532306,8802.0,ascent
2026-04-14 14:38:00+00:00,33.21521831629088,132.7446004218421,9102.0,ascent
2026-04-14 14:39:00+00:00,33.2136430525185,132.76232248374868,9402.0,ascent
2026-04-14 14:40:00+00:00,33.211879455885054,132.78143735261423,9702.0,ascent
2026-04-14 14:41:00+00:00,33.2097504700179,132.80289772643152,10002.0,ascent
2026-04-14 14:42:00+00:00,33.207673355440505,132.82761577187125,10302.0,ascent
2026-04-14 14:43:00+00:00,33.206383661441585,132.8572574736811,10602.0,ascent
2026-04-14 14:44:00+00:00,33.20601976367662,132.89135507955058,10902.0,ascent
2026-04-14 14:45:00+00:00,33.20711862841211,132.92786295680898,11202.0,ascent
2026-04-14 14:46:00+00:00,33.20969047089631,132.9665321527284,11502.0,ascent
2026-04-14 14:47:00+00:00,33.21295654883444,133.00553106921845,11802.0,ascent
2026-04-14 14:48:00+00:00,33.216647079118246,133.04415639378198,12102.0,ascent
2026-04-14 14:49:00+00:00,33.22044083230756,133.0822255480628,12402.0,ascent
2026-04-14 14:50:00+00:00,33.22331005738943,133.11919108619824,12702.0,ascent
2026-04-14 14:51:00+00:00,33.225170414738095,133.15502014485054,13002.0,ascent
2026-04-14 14:52:00+00:00,33.22636277745458,133.18958718844286,13302.0,ascent
2026-04-14 14:53:00+00:00,33.227580691340016,133.2226145335858,13602.0,ascent
2026-04-14 14:54:00+00:00,33.22886743323529,133.25406772421488,13902.0,ascent
2026-04-14 14:55:00+00:00,33.230257073442985,133.28402427971082,14202.0,ascent
2026-04-14 14:56:00+00:00,33.231997651276316,133.31328999152782,14502.0,ascent
2026-04-14 14:57:00+00:00,33.234110775804155,133.3419596650122,14802.0,ascent
2026-04-14 14:58:00+00:00,33.236593894724066,133.37005058123287,15102.0,ascent
2026-04-14 14:59:00+00:00,33.23923862568025,133.39755149777537,15402.0,ascent
2026-04-14 15:00:00+00:00,33.24163040795718,133.42440395151868,15702.0,ascent
2026-04-14 15:01:00+00:00,33.24374661610523,133.4505884174788,16002.0,ascent
2026-04-14 15:02:00+00:00,33.24558783938643,133.47607950589475,16302.0,ascent
2026-04-14 15:03:00+00:00,33.24716038116912,133.5007854563695,16602.0,ascent
2026-04-14 15:04:00+00:00,33.24851586907129,133.52392031505696,16902.0,ascent
2026-04-14 15:05:00+00:00,33.24967250406942,133.5453039049483,17202.0,ascent
2026-04-14 15:06:00+00:00,33.250627344655776,133.56492894853542,17502.0,ascent
2026-04-14 15:07:00+00:00,33.25137851128809,133.58278950573091,17802.0,ascent
2026-04-14 15:08:00+00:00,33.25192516060347,133.5988809694131,18102.0,ascent
2026-04-14 15:09:00+00:00,33.25226745857779,133.6132000560068,18402.0,ascent
2026-04-14 15:10:00+00:00,33.25243228215265,133.62580765440902,18702.0,ascent
2026-04-14 15:11:00+00:00,33.25274542455374,133.6374984807614,19002.0,ascent
2026-04-14 15:12:00+00:00,33.253298856431165,133.64850629137626,19302.0,ascent
2026-04-14 15:13:00+00:00,33.2540911450124,133.65883680758435,19602.0,ascent
2026-04-14 15:14:00+00:00,33.255121101464866,133.66849522471122,19902.0,ascent
2026-04-14 15:15:00+00:00,33.25638776991806,133.67748624461444,20202.0,ascent
2026-04-14 15:16:00+00:00,33.25789041763884,133.68581410457085,20502.0,ascent
2026-04-14 15:17:00+00:00,33.25954234292342,133.69353623779222,20802.0,ascent
2026-04-14 15:18:00+00:00,33.26095430007155,133.70089603821273,21102.0,ascent
2026-04-14 15:19:00+00:00,33.26209135774515,133.70791374530828,21402.0,ascent
2026-04-14 15:20:00+00:00,33.26295233708616,133.71458863848122,21702.0,ascent
2026-04-14 15:21:00+00:00,33.263536259339055,133.7209200317206,22002.0,ascent
2026-04-14 15:22:00+00:00,33.26384234531235,133.72690727019543,22302.0,ascent
2026-04-14 15:23:00+00:00,33.26387001427297,133.73254972794285,22602.0,ascent
2026-04-14 15:24:00+00:00,33.26361888227468,133.73784680663837,22902.0,ascent
2026-04-14 15:25:00+00:00,33.263088759923306,133.74279793543167,23202.0,ascent
2026-04-14 15:26:00+00:00,33.26227964958291,133.74740257182896,23502.0,ascent
2026-04-14 15:27:00+00:00,33.26119274126054,133.7516586714251,23802.0,ascent
2026-04-14 15:28:00+00:00,33.259881739954494,133.75548429450564,24102.0,ascent
2026-04-14 15:29:00+00:00,33.25839081145671,133.7588133962134,24402.0,ascent
2026-04-14 15:30:00+00:00,33.2567193751785,133.76164861295933,24702.0,ascent
